Date,Open,High,Low,Close
08/02/2023,"7,666.27","7,666.27","7,522.24","7,561.63"
08/01/2023,"7,699.41","7,715.24","7,650.15","7,666.27"
07/31/2023,"7,694.27","7,722.92","7,667.81","7,699.41"
07/28/2023,"7,692.76","7,716.82","7,680.19","7,694.27"
07/27/2023,"7,676.89","7,709.66","7,662.40","7,692.76"
07/26/2023,"7,691.80","7,702.74","7,630.00","7,676.89"
07/25/2023,"7,678.59","7,702.35","7,676.50","7,691.80"
07/24/2023,"7,663.73","7,684.97","7,633.29","7,678.59"
07/21/2023,"7,646.05","7,674.23","7,639.45","7,663.73"
07/20/2023,"7,588.20","7,661.87","7,585.85","7,646.05"
07/19/2023,"7,453.69","7,625.14","7,453.69","7,588.20"
07/18/2023,"7,406.42","7,459.15","7,398.53","7,453.69"
07/17/2023,"7,434.57","7,437.61","7,395.67","7,406.42"
07/14/2023,"7,440.21","7,480.43","7,421.31","7,434.57"
07/13/2023,"7,416.11","7,457.20","7,409.25","7,440.21"
07/12/2023,"7,282.52","7,425.10","7,282.52","7,416.11"
07/11/2023,"7,273.79","7,285.33","7,239.23","7,282.52"
07/10/2023,"7,256.94","7,306.09","7,238.72","7,273.79"
07/07/2023,"7,280.50","7,280.50","7,229.57","7,256.94"
07/06/2023,"7,442.10","7,442.10","7,267.62","7,280.50"
07/05/2023,"7,519.72","7,519.72","7,434.66","7,442.10"
07/04/2023,"7,527.26","7,547.38","7,518.36","7,519.72"
07/03/2023,"7,531.53","7,561.26","7,513.93","7,527.26"
06/30/2023,"7,471.69","7,551.59","7,471.69","7,531.53"
06/29/2023,"7,500.49","7,505.61","7,460.53","7,471.69"
06/28/2023,"7,461.46","7,518.33","7,461.46","7,500.49"
06/27/2023,"7,453.58","7,495.88","7,428.11","7,461.46"
06/26/2023,"7,461.87","7,476.45","7,401.18","7,453.58"
06/23/2023,"7,502.03","7,502.03","7,439.72","7,461.87"
06/22/2023,"7,559.18","7,559.18","7,458.35","7,502.03"
06/21/2023,"7,569.31","7,577.60","7,520.92","7,559.18"
06/20/2023,"7,588.48","7,607.53","7,566.33","7,569.31"
06/19/2023,"7,642.72","7,642.72","7,581.84","7,588.48"
06/16/2023,"7,628.26","7,687.61","7,627.83","7,642.72"
06/15/2023,"7,602.74","7,632.67","7,584.78","7,628.26"
06/14/2023,"7,594.78","7,639.79","7,579.27","7,602.74"
06/13/2023,"7,570.69","7,610.77","7,556.32","7,594.78"
06/12/2023,"7,562.36","7,599.87","7,556.81","7,570.69"
06/09/2023,"7,599.74","7,621.72","7,546.50","7,562.36"
06/08/2023,"7,624.34","7,638.61","7,587.99","7,599.74"
06/07/2023,"7,628.10","7,642.40","7,604.42","7,624.34"
06/06/2023,"7,599.99","7,636.06","7,556.16","7,628.10"
06/05/2023,"7,607.28","7,654.84","7,594.13","7,599.99"
06/02/2023,"7,490.27","7,614.89","7,490.02","7,607.28"
06/01/2023,"7,446.14","7,498.59","7,445.30","7,490.27"
05/31/2023,"7,522.07","7,522.07","7,446.14","7,446.14"
05/30/2023,"7,627.20","7,628.12","7,516.52","7,522.07"
05/26/2023,"7,570.87","7,643.56","7,556.92","7,627.20"
05/25/2023,"7,627.10","7,629.08","7,569.17","7,570.87"
05/24/2023,"7,762.95","7,762.95","7,590.24","7,627.10"
05/23/2023,"7,770.99","7,800.85","7,747.09","7,762.95"
05/22/2023,"7,756.87","7,783.40","7,750.53","7,770.99"
05/19/2023,"7,742.30","7,790.92","7,742.13","7,756.87"
05/18/2023,"7,723.23","7,776.58","7,723.23","7,742.30"
05/17/2023,"7,751.08","7,758.15","7,713.03","7,723.23"
05/16/2023,"7,777.70","7,804.93","7,741.29","7,751.08"
05/15/2023,"7,754.62","7,794.89","7,754.62","7,777.70"
05/12/2023,"7,730.58","7,772.79","7,729.01","7,754.62"
05/11/2023,"7,741.33","7,784.28","7,679.61","7,730.58"
05/10/2023,"7,764.09","7,778.98","7,727.12","7,741.33"
05/09/2023,"7,778.38","7,792.35","7,735.08","7,764.09"
05/05/2023,"7,702.64","7,781.54","7,702.64","7,778.38"
05/04/2023,"7,788.37","7,788.37","7,691.25","7,702.64"
05/03/2023,"7,773.03","7,819.66","7,773.03","7,788.37"
05/02/2023,"7,870.57","7,898.69","7,773.03","7,773.03"
04/28/2023,"7,831.58","7,870.57","7,791.63","7,870.57"
04/27/2023,"7,852.64","7,865.73","7,816.83","7,831.58"
04/26/2023,"7,891.13","7,893.95","7,825.93","7,852.64"
04/25/2023,"7,912.20","7,912.52","7,863.85","7,891.13"
04/24/2023,"7,914.13","7,927.11","7,877.58","7,912.20"
04/21/2023,"7,902.61","7,936.11","7,886.46","7,914.13"
04/20/2023,"7,898.77","7,902.95","7,876.35","7,902.61"
04/19/2023,"7,909.44","7,909.44","7,871.43","7,898.77"
04/18/2023,"7,879.51","7,912.73","7,879.51","7,909.44"
04/17/2023,"7,871.91","7,916.67","7,871.91","7,879.51"
04/14/2023,"7,843.38","7,904.04","7,843.38","7,871.91"
04/13/2023,"7,824.84","7,851.57","7,814.11","7,843.38"
04/12/2023,"7,785.72","7,859.67","7,783.40","7,824.84"
04/11/2023,"7,741.56","7,806.39","7,741.56","7,785.72"
04/06/2023,"7,662.94","7,742.11","7,654.54","7,741.56"
04/05/2023,"7,634.52","7,678.45","7,634.26","7,662.94"
04/04/2023,"7,673.00","7,726.85","7,634.52","7,634.52"
04/03/2023,"7,631.74","7,698.15","7,631.74","7,673.00"
03/31/2023,"7,620.43","7,654.41","7,616.09","7,631.74"
03/30/2023,"7,564.27","7,638.49","7,564.27","7,620.43"
03/29/2023,"7,484.25","7,566.80","7,484.21","7,564.27"
03/28/2023,"7,471.77","7,524.55","7,464.61","7,484.25"
03/27/2023,"7,405.45","7,491.74","7,405.45","7,471.77"
03/24/2023,"7,499.60","7,499.60","7,335.71","7,405.45"
03/23/2023,"7,566.84","7,566.84","7,476.13","7,499.60"
03/22/2023,"7,536.22","7,585.57","7,505.48","7,566.84"
03/21/2023,"7,403.85","7,557.55","7,403.85","7,536.22"
03/20/2023,"7,335.40","7,426.24","7,206.82","7,403.85"
03/17/2023,"7,410.03","7,510.47","7,309.30","7,335.40"
03/16/2023,"7,344.45","7,458.64","7,331.49","7,410.03"
03/15/2023,"7,637.11","7,637.39","7,333.35","7,344.45"
03/14/2023,"7,548.63","7,641.55","7,503.25","7,637.11"
03/13/2023,"7,748.35","7,752.43","7,546.02","7,548.63"
03/10/2023,"7,879.98","7,879.98","7,708.32","7,748.35"
03/09/2023,"7,929.92","7,930.26","7,862.01","7,879.98"
03/08/2023,"7,919.48","7,946.62","7,891.42","7,929.92"
03/07/2023,"7,929.79","7,959.77","7,909.77","7,919.48"
03/06/2023,"7,947.11","7,948.67","7,897.45","7,929.79"
03/03/2023,"7,944.04","7,974.40","7,920.07","7,947.11"
03/02/2023,"7,914.93","7,945.82","7,875.03","7,944.04"
03/01/2023,"7,876.28","7,950.69","7,874.34","7,914.93"
02/28/2023,"7,935.11","7,935.11","7,854.82","7,876.28"
02/27/2023,"7,878.66","7,949.97","7,878.66","7,935.11"
02/24/2023,"7,907.72","7,939.17","7,870.39","7,878.66"
02/23/2023,"7,930.63","7,935.56","7,888.88","7,907.72"
02/22/2023,"7,977.75","7,977.75","7,879.03","7,930.63"
02/21/2023,"8,014.31","8,014.40","7,952.48","7,977.75"
02/20/2023,"8,004.36","8,020.13","7,995.46","8,014.31"
02/17/2023,"8,012.53","8,012.53","7,957.69","8,004.36"
02/16/2023,"7,997.83","8,047.06","7,978.61","8,012.53"
02/15/2023,"7,953.85","8,003.65","7,921.32","7,997.83"
02/14/2023,"7,947.60","7,996.35","7,947.60","7,953.85"
02/13/2023,"7,882.45","7,947.60","7,881.86","7,947.60"
02/10/2023,"7,911.15","7,913.31","7,850.94","7,882.45"
02/09/2023,"7,885.17","7,949.57","7,874.23","7,911.15"
02/08/2023,"7,864.71","7,934.30","7,864.66","7,885.17"
02/07/2023,"7,836.71","7,890.82","7,835.36","7,864.71"
02/06/2023,"7,901.80","7,901.80","7,808.39","7,836.71"
02/03/2023,"7,820.16","7,906.58","7,806.85","7,901.80"
02/02/2023,"7,761.11","7,837.84","7,758.51","7,820.16"
02/01/2023,"7,771.70","7,798.51","7,745.43","7,761.11"
01/31/2023,"7,784.87","7,784.87","7,708.34","7,771.70"
01/30/2023,"7,765.15","7,790.69","7,718.33","7,784.87"
01/27/2023,"7,761.11","7,777.40","7,742.12","7,765.15"
01/26/2023,"7,744.87","7,787.57","7,744.87","7,761.11"
01/25/2023,"7,757.36","7,773.57","7,710.78","7,744.87"
01/24/2023,"7,784.67","7,800.89","7,741.75","7,757.36"
01/23/2023,"7,770.59","7,811.17","7,768.47","7,784.67"
01/20/2023,"7,747.29","7,790.87","7,747.29","7,770.59"
01/19/2023,"7,830.70","7,830.80","7,726.23","7,747.29"
01/18/2023,"7,851.03","7,867.43","7,824.73","7,830.70"
01/17/2023,"7,860.07","7,875.58","7,830.35","7,851.03"
01/16/2023,"7,844.07","7,867.23","7,841.91","7,860.07"
01/13/2023,"7,794.04","7,864.95","7,793.55","7,844.07"
01/12/2023,"7,724.98","7,809.13","7,724.55","7,794.04"
01/11/2023,"7,694.49","7,772.37","7,694.35","7,724.98"
01/10/2023,"7,724.94","7,724.94","7,684.35","7,694.49"
01/09/2023,"7,699.49","7,725.74","7,688.69","7,724.94"
01/06/2023,"7,633.45","7,700.81","7,633.45","7,699.49"
01/05/2023,"7,585.19","7,658.79","7,564.70","7,633.45"
01/04/2023,"7,554.09","7,609.25","7,545.18","7,585.19"
01/03/2023,"7,451.74","7,626.40","7,448.69","7,554.09"
12/30/2022,"7,512.72","7,512.92","7,451.74","7,451.74"
12/29/2022,"7,497.19","7,516.36","7,434.64","7,512.72"
12/28/2022,"7,473.01","7,547.00","7,473.01","7,497.19"
12/27/2022,"7,473.01","7,473.01","7,473.01","7,473.01"
12/26/2022,"7,473.01","7,473.01","7,473.01","7,473.01"
12/23/2022,"7,469.28","7,496.40","7,462.80","7,473.01"
12/22/2022,"7,497.32","7,540.31","7,463.54","7,469.28"
12/21/2022,"7,370.62","7,498.48","7,368.72","7,497.32"
12/20/2022,"7,361.31","7,389.92","7,302.82","7,370.62"
12/19/2022,"7,332.12","7,385.38","7,332.12","7,361.31"
12/16/2022,"7,426.17","7,429.29","7,305.72","7,332.12"
12/15/2022,"7,495.93","7,495.93","7,411.07","7,426.17"
12/14/2022,"7,502.89","7,504.49","7,461.68","7,495.93"
12/13/2022,"7,445.97","7,553.36","7,428.98","7,502.89"
12/12/2022,"7,476.63","7,476.63","7,438.87","7,445.97"
12/09/2022,"7,472.17","7,498.04","7,431.44","7,476.63"
12/08/2022,"7,489.19","7,507.98","7,469.12","7,472.17"
12/07/2022,"7,521.39","7,567.23","7,489.19","7,489.19"
12/06/2022,"7,567.54","7,567.64","7,521.39","7,521.39"
12/05/2022,"7,556.23","7,598.21","7,547.76","7,567.54"
12/02/2022,"7,558.49","7,570.46","7,507.98","7,556.23"
12/01/2022,"7,573.05","7,599.70","7,552.29","7,558.49"
11/30/2022,"7,512.00","7,599.27","7,512.00","7,573.05"
11/29/2022,"7,474.02","7,543.09","7,473.99","7,512.00"
11/28/2022,"7,486.67","7,496.80","7,420.00","7,474.02"
11/25/2022,"7,466.60","7,497.23","7,461.78","7,486.67"
11/24/2022,"7,465.24","7,488.07","7,443.46","7,466.60"
11/23/2022,"7,452.84","7,498.34","7,452.84","7,465.24"
11/22/2022,"7,376.85","7,458.88","7,373.56","7,452.84"
11/21/2022,"7,385.52","7,402.79","7,343.37","7,376.85"
11/18/2022,"7,346.54","7,423.51","7,343.50","7,385.52"
11/17/2022,"7,351.19","7,354.07","7,294.75","7,346.54"
11/16/2022,"7,369.44","7,394.42","7,341.59","7,351.19"
11/15/2022,"7,385.17","7,413.01","7,344.85","7,369.44"
11/14/2022,"7,318.04","7,413.82","7,317.57","7,385.17"
11/11/2022,"7,375.34","7,408.61","7,316.84","7,318.04"
11/10/2022,"7,296.25","7,405.09","7,253.36","7,375.34"
11/09/2022,"7,306.14","7,307.80","7,263.46","7,296.25"
11/08/2022,"7,299.99","7,313.46","7,244.83","7,306.14"
11/07/2022,"7,334.84","7,346.66","7,288.00","7,299.99"
11/04/2022,"7,188.63","7,376.23","7,188.63","7,334.84"
11/03/2022,"7,144.14","7,188.63","7,076.47","7,188.63"
11/02/2022,"7,186.16","7,205.07","7,130.50","7,144.14"
11/01/2022,"7,094.53","7,221.32","7,094.53","7,186.16"
10/31/2022,"7,047.67","7,132.85","7,030.12","7,094.53"
10/27/2015,"6,417.02","6,419.62","6,365.27","6,365.27"
10/26/2015,"6,444.08","6,453.00","6,405.38","6,417.02"
10/23/2015,"6,376.28","6,487.89","6,376.28","6,444.08"
10/22/2015,"6,348.42","6,387.28","6,321.65","6,376.28"
10/21/2015,"6,345.13","6,387.29","6,316.30","6,348.42"
10/20/2015,"6,352.33","6,367.75","6,319.25","6,345.13"
10/19/2015,"6,378.04","6,408.09","6,336.27","6,352.33"
10/16/2015,"6,338.67","6,398.23","6,338.67","6,378.04"
10/15/2015,"6,269.61","6,351.43","6,269.61","6,338.67"
10/14/2015,"6,342.28","6,342.28","6,268.29","6,269.61"
10/13/2015,"6,371.18","6,371.18","6,303.02","6,342.28"
10/12/2015,"6,416.16","6,416.16","6,351.34","6,371.18"
10/09/2015,"6,374.82","6,453.22","6,374.82","6,416.16"
10/08/2015,"6,336.35","6,380.30","6,303.46","6,374.82"
10/07/2015,"6,326.16","6,396.34","6,319.77","6,336.35"
10/06/2015,"6,298.92","6,343.71","6,255.10","6,326.16"
10/05/2015,"6,129.98","6,301.05","6,129.98","6,298.92"
10/02/2015,"6,072.47","6,176.20","6,051.62","6,129.98"
10/01/2015,"6,061.61","6,172.78","6,053.26","6,072.47"
09/30/2015,"5,909.24","6,061.61","5,909.24","6,061.61"
09/29/2015,"5,958.86","5,958.86","5,877.08","5,909.24"
09/28/2015,"6,109.01","6,110.31","5,958.86","5,958.86"
09/25/2015,"5,961.49","6,120.67","5,961.49","6,109.01"
09/24/2015,"6,032.24","6,055.64","5,947.19","5,961.49"
09/23/2015,"5,935.84","6,067.56","5,933.23","6,032.24"
09/22/2015,"6,108.71","6,111.57","5,935.84","5,935.84"
09/21/2015,"6,104.11","6,168.74","6,083.64","6,108.71"
09/18/2015,"6,186.99","6,188.74","6,053.87","6,104.11"
09/17/2015,"6,229.21","6,239.86","6,182.63","6,186.99"
09/16/2015,"6,137.60","6,244.94","6,137.60","6,229.21"
09/15/2015,"6,084.59","6,158.08","6,019.92","6,137.60"
09/14/2015,"6,117.76","6,191.82","6,065.43","6,084.59"
09/11/2015,"6,155.81","6,174.28","6,113.10","6,117.76"
09/10/2015,"6,229.01","6,229.01","6,127.52","6,155.81"
09/09/2015,"6,146.10","6,284.17","6,146.10","6,229.01"
09/08/2015,"6,074.52","6,196.47","6,074.52","6,146.10"
09/07/2015,"6,042.92","6,125.67","6,042.92","6,074.52"
09/04/2015,"6,194.10","6,194.10","6,040.49","6,042.92"
09/03/2015,"6,083.31","6,215.74","6,083.31","6,194.10"
09/02/2015,"6,058.54","6,161.68","6,021.36","6,083.31"
09/01/2015,"6,247.94","6,247.94","6,028.71","6,058.54"
08/31/2015,"6,247.94","6,247.94","6,152.01","6,247.94"
08/28/2015,"6,192.03","6,247.94","6,152.01","6,247.94"
08/27/2015,"5,979.20","6,212.48","5,979.20","6,192.03"
08/26/2015,"6,081.34","6,095.05","5,949.94","5,979.20"
08/25/2015,"5,898.87","6,115.74","5,898.87","6,081.34"
08/24/2015,"6,187.65","6,187.65","5,768.22","5,898.87"
08/21/2015,"6,367.89","6,367.89","6,187.65","6,187.65"
08/20/2015,"6,403.45","6,408.61","6,359.71","6,367.89"
08/19/2015,"6,526.29","6,526.52","6,403.45","6,403.45"
08/18/2015,"6,550.30","6,564.55","6,505.69","6,526.29"
08/17/2015,"6,550.74","6,585.88","6,507.76","6,550.30"
08/14/2015,"6,568.33","6,603.17","6,544.42","6,550.74"
08/13/2015,"6,571.19","6,634.71","6,553.45","6,568.33"
08/12/2015,"6,664.54","6,664.54","6,536.41","6,571.19"
08/11/2015,"6,736.22","6,736.22","6,663.98","6,664.54"
08/10/2015,"6,718.49","6,751.49","6,653.65","6,736.22"
08/07/2015,"6,747.09","6,754.77","6,718.49","6,718.49"
08/06/2015,"6,752.41","6,763.34","6,717.49","6,747.09"
08/05/2015,"6,686.57","6,764.82","6,686.57","6,752.41"
08/04/2015,"6,688.62","6,715.51","6,644.65","6,686.57"
08/03/2015,"6,696.28","6,710.79","6,668.18","6,688.62"
07/31/2015,"6,668.87","6,705.42","6,646.26","6,696.28"
07/30/2015,"6,631.00","6,697.40","6,631.00","6,668.87"
07/29/2015,"6,555.28","6,634.04","6,555.28","6,631.00"
07/28/2015,"6,505.13","6,569.45","6,505.13","6,555.28"
07/27/2015,"6,579.81","6,589.48","6,495.67","6,505.13"
07/24/2015,"6,655.01","6,684.81","6,573.96","6,579.81"
07/23/2015,"6,667.34","6,711.49","6,644.85","6,655.01"
07/22/2015,"6,769.07","6,769.07","6,653.39","6,667.34"
07/21/2015,"6,788.69","6,800.13","6,758.75","6,769.07"
07/20/2015,"6,775.08","6,813.41","6,772.09","6,788.69"
07/17/2015,"6,796.45","6,799.78","6,764.80","6,775.08"
07/16/2015,"6,753.75","6,805.14","6,752.09","6,796.45"
07/15/2015,"6,753.75","6,775.91","6,728.49","6,753.75"
07/14/2015,"6,737.95","6,753.75","6,710.62","6,753.75"
07/13/2015,"6,673.38","6,743.05","6,673.38","6,737.95"
07/10/2015,"6,581.63","6,687.57","6,581.63","6,673.38"
07/09/2015,"6,490.70","6,594.18","6,490.70","6,581.63"
07/08/2015,"6,432.21","6,515.06","6,430.36","6,490.70"
07/07/2015,"6,535.68","6,543.80","6,432.21","6,432.21"
07/06/2015,"6,585.78","6,585.78","6,506.71","6,535.68"
07/03/2015,"6,630.47","6,630.75","6,572.46","6,585.78"
07/02/2015,"6,608.59","6,647.70","6,600.37","6,630.47"
07/01/2015,"6,520.98","6,637.34","6,520.98","6,608.59"
06/30/2015,"6,620.48","6,620.75","6,520.98","6,520.98"
06/29/2015,"6,753.70","6,753.70","6,598.64","6,620.48"
06/26/2015,"6,807.82","6,807.82","6,731.13","6,753.70"
06/25/2015,"6,844.80","6,869.04","6,798.80","6,807.82"
06/24/2015,"6,834.87","6,873.43","6,834.32","6,844.80"
06/23/2015,"6,825.67","6,856.49","6,825.67","6,834.87"
06/22/2015,"6,710.45","6,825.67","6,710.45","6,825.67"
06/19/2015,"6,707.88","6,759.29","6,691.82","6,710.45"
06/18/2015,"6,680.55","6,707.88","6,625.16","6,707.88"
06/17/2015,"6,710.10","6,731.54","6,665.95","6,680.55"
06/16/2015,"6,710.52","6,723.49","6,656.90","6,710.10"
06/15/2015,"6,784.92","6,784.92","6,708.50","6,710.52"
06/12/2015,"6,846.74","6,846.74","6,760.06","6,784.92"
06/11/2015,"6,830.27","6,870.19","6,807.29","6,846.74"
06/10/2015,"6,753.80","6,843.57","6,734.15","6,830.27"
06/09/2015,"6,790.04","6,803.75","6,736.88","6,753.80"
06/08/2015,"6,804.60","6,827.16","6,781.66","6,790.04"
06/05/2015,"6,859.24","6,859.24","6,785.15","6,804.60"
06/04/2015,"6,950.46","6,950.46","6,838.95","6,859.24"
06/03/2015,"6,928.27","6,985.69","6,901.79","6,950.46"
06/02/2015,"6,953.58","6,972.25","6,872.12","6,928.27"
06/01/2015,"6,984.43","7,037.58","6,942.66","6,953.58"
05/29/2015,"7,040.92","7,069.93","6,967.92","6,984.43"
05/28/2015,"7,033.33","7,049.62","7,005.88","7,040.92"
05/27/2015,"6,948.99","7,054.14","6,948.62","7,033.33"
05/26/2015,"7,031.72","7,039.55","6,930.28","6,948.99"
05/25/2015,"7,031.72","7,061.66","7,013.47","7,031.72"
05/22/2015,"7,013.47","7,061.66","7,013.47","7,031.72"
05/21/2015,"7,007.26","7,026.01","6,994.26","7,013.47"
05/20/2015,"6,995.10","7,018.70","6,962.06","7,007.26"
05/19/2015,"6,968.87","7,011.35","6,968.87","6,995.10"
05/18/2015,"6,960.49","7,015.49","6,931.64","6,968.87"
05/15/2015,"6,973.04","7,009.41","6,937.12","6,960.49"
05/14/2015,"6,949.63","6,977.93","6,884.63","6,973.04"
05/13/2015,"6,933.80","6,989.91","6,920.65","6,949.63"
05/12/2015,"7,029.85","7,029.85","6,887.52","6,933.80"
05/11/2015,"7,046.82","7,083.72","7,025.17","7,029.85"
05/08/2015,"6,886.95","7,046.82","6,885.79","7,046.82"
05/07/2015,"6,933.74","6,933.74","6,810.05","6,886.95"
05/06/2015,"6,927.58","6,974.82","6,913.46","6,933.74"
05/05/2015,"6,985.95","7,053.18","6,927.58","6,927.58"
05/04/2015,"6,985.95","6,995.41","6,919.39","6,985.95"
05/01/2015,"6,960.63","6,995.41","6,919.39","6,985.95"
04/30/2015,"6,946.28","6,970.34","6,906.24","6,960.63"
04/29/2015,"7,030.53","7,058.19","6,945.56","6,946.28"
04/28/2015,"7,103.98","7,103.99","6,983.97","7,030.53"
04/27/2015,"7,070.70","7,122.74","7,025.27","7,103.98"
04/24/2015,"7,053.67","7,102.59","7,051.17","7,070.70"
04/23/2015,"7,028.24","7,055.15","6,995.79","7,053.67"
04/22/2015,"7,062.93","7,092.34","6,997.15","7,028.24"
04/21/2015,"7,052.13","7,105.13","7,030.00","7,062.93"
04/20/2015,"6,994.63","7,067.84","6,994.63","7,052.13"
04/17/2015,"7,060.45","7,093.52","6,979.32","6,994.63"
04/16/2015,"7,096.78","7,119.35","7,057.74","7,060.45"
04/15/2015,"7,075.26","7,111.72","7,058.34","7,096.78"
04/14/2015,"7,064.30","7,086.06","7,044.60","7,075.26"
04/13/2015,"7,089.77","7,089.84","7,046.68","7,064.30"
04/10/2015,"7,015.36","7,095.36","7,015.36","7,089.77"
04/09/2015,"6,937.41","7,016.99","6,937.41","7,015.36"
04/08/2015,"6,961.77","7,012.06","6,931.59","6,937.41"
04/07/2015,"6,833.46","6,967.69","6,833.46","6,961.77"
04/06/2015,"6,833.46","6,849.91","6,801.27","6,833.46"
04/03/2015,"6,833.46","6,849.91","6,801.27","6,833.46"
04/02/2015,"6,809.50","6,849.91","6,801.27","6,833.46"
04/01/2015,"6,773.04","6,856.43","6,765.40","6,809.50"
03/31/2015,"6,891.43","6,910.07","6,765.05","6,773.04"
03/30/2015,"6,855.02","6,914.60","6,855.02","6,891.43"
03/27/2015,"6,895.33","6,910.55","6,839.88","6,855.02"
03/26/2015,"6,990.97","6,990.97","6,876.84","6,895.33"
03/25/2015,"7,019.68","7,035.11","6,983.94","6,990.97"
03/24/2015,"7,037.67","7,065.08","7,012.51","7,019.68"
03/23/2015,"7,022.51","7,037.67","6,991.43","7,037.67"
03/20/2015,"6,962.32","7,024.21","6,960.81","7,022.51"
03/19/2015,"6,945.20","6,982.79","6,929.73","6,962.32"
03/18/2015,"6,837.61","6,945.20","6,837.26","6,945.20"
03/17/2015,"6,804.08","6,846.90","6,798.47","6,837.61"
03/16/2015,"6,740.58","6,809.08","6,740.58","6,804.08"
03/13/2015,"6,761.07","6,777.77","6,713.50","6,740.58"
03/12/2015,"6,721.51","6,799.84","6,721.51","6,761.07"
03/11/2015,"6,702.84","6,738.95","6,693.80","6,721.51"
03/10/2015,"6,876.47","6,876.86","6,702.84","6,702.84"
03/09/2015,"6,911.80","6,911.80","6,859.81","6,876.47"
03/06/2015,"6,961.14","6,961.23","6,911.80","6,911.80"
03/05/2015,"6,919.24","6,968.64","6,914.06","6,961.14"
03/04/2015,"6,889.13","6,919.24","6,862.87","6,919.24"
